Customer,SalesOrganization,DistributionChannel,Division,CustomerABCClassification,SalesOffice,SalesGroup,OrderIsBlockedForCustomer,Currency,CustomerPriceGroup,PriceListType,DeliveryPriority,ShippingCondition,IncotermsClassification,SupplyingPlant,CompleteDeliveryIsDefined,DeliveryIsBlockedForCustomer,BillingIsBlockedForCustomer,CustomerPaymentTerms,CustomerAccountAssignmentGroup,AccountByCustomer,CustomerGroup,CustomerPricingProcedure,OrderCombinationIsAllowed,PartialDeliveryIsAllowed,InvoiceDate,PaymentTerms,IncotermsTransferLocation,ItemOrderProbabilityInPercent,IncotermsLocation2,RecordCreatedDate,AuthorizationGroup,SalesDistrict,IncotermsVersion,IncotermsLocation1,DeletionIndicator,IsBusinessPurposeCompleted,SalesItemProposal,CustProdProposalProcedure,ProofOfDeliveryTime,ProofOfDeliveryTimeValue,MaxNmbrOfPartialDelivery,UnderdelivTolrtdLmtRatioInPct,OverdelivTolrtdLmtRatioInPct,IsActiveEntity,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,InvoiceListSchedule,ExchangeRateType,PaymentGuaranteeProcedure,SuplrIsRlvtForSettlmtMgmt,CustIsRlvtForSettlmtMgmt,ProductUnitGroup,SlsDocIsRlvtForProofOfDeliv,SlsUnlmtdOvrdelivIsAllwd,CreditControlArea,CustomerIsRebateRelevant,InspSbstHasNoTimeOrQuantity,ManualInvoiceMaintIsRelevant,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,SalesBlockForCustomer,CustomerStatisticsGroup,RetailAdditionalCustomerGrp6,RetailAdditionalCustomerGrp7,RetailAdditionalCustomerGrp8,RetailAdditionalCustomerGrp9,RetailAdditionalCustomerGrp10
0000000128,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,DPP,000001,,,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
0000000130,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,DPP,000001,,,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
0000000131,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,DPP,000001,,,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
0000000148,0001,01,01,,,,,EUR,01,,02,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000149,0001,01,01,,,,,EUR,01,,01,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000149,CN01,01,01,,,,,CNY,01,,00,,,,false,,,,,,,1,false,,,,,100,,,,NORTH,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000150,0001,01,01,,,,,EUR,01,,00,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000151,0001,01,01,,,,,EUR,01,,01,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000153,0001,01,01,,,,,EUR,01,,00,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000154,0001,01,01,,,,,EUR,01,,01,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000155,0001,01,01,,,,,EUR,01,,01,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000157,0001,01,01,,,,,EUR,01,,00,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000158,0001,01,01,,,,,EUR,01,,00,02,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000166,0001,01,01,,,,,EUR,01,,02,01,FH,0001,false,,,0002,,,,2,false,,01,0002,,100,,,,000002,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,01,,,false,false,,false,false,,false,true,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000168,0001,01,01,,0001,001,,EUR,01,,01,01,,,false,,,,,,01,1,false,,,,,100,,,DPP,000001,,,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
0000000168,CN01,01,01,,,,,CNY,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,DPP,000001,,,false,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000206,0001,01,01,,,,,EUR,01,,00,01,CFR,,false,,,,01,,,1,false,,,,ZT,100,,,,000001,,ZT,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000207,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,01,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,true,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000208,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000214,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000002,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000226,0001,01,01,,,,,EUR,01,,00,01,,0001,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000227,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000231,JP01,01,01,,,,,JPY,01,,02,01,CIF,JP01,false,,,JP01,,,,1,false,,,JP01,ASAKUSA,100,,,,000001,,ASAKUSA,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000264,0001,01,01,,,,,EUR,01,,00,01,CFR,,false,,,,,,,1,false,,,,aadadad,100,,,,000001,,aadadad,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000267,0001,01,01,,,,,EUR,01,,00,,,,false,,,,,,,1,false,,,,,100,,,DPP,000001,,,true,true,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,X,,,,,,
0000000285,0001,01,01,,,,,EUR,01,,01,,FOB,,false,,,,,,,1,false,,,,Venedig,100,,,,000002,,Venedig,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000289,CN01,01,01,,,,,CNY,01,,00,,,,false,,,,,,,1,false,,,,,100,,,,NORTH,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000291,CN01,01,01,,,,,CNY,02,,00,,,,false,,,,,,,5,false,,,,,100,,,,NORTH,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000300,CN01,01,01,,,,,CNY,01,,00,,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000310,IN01,10,10,,,,,INR,01,,00,,FOB,,false,,,0001,,,,1,true,,,0001,eeee,100,,,,IN0001,,eeee,false,false,,,0,0.00,9,0.0,0.0,true,,,,,,,,,false,false,,false,false,IN01,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000312,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000313,0001,01,01,,,,,EUR,01,,00,01,,0001,false,,,0003,,,,1,false,,,0003,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000316,JP01,01,01,,,,,JPY,01,,00,01,CIF,JP01,false,,,JP01,,,,1,false,,,JP01,onboad,100,,,,000001,,onboad,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000317,S002,S1,S2,,,,,USD,01,,01,,,P002,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000321,JP01,SC,01,,,,,JPY,01,,02,01,CIF,JP01,false,,,,,,,1,false,,,,Asakusa,100,,,,000001,,Asakusa,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000334,0001,01,01,,,,,EUR,01,,00,01,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000335,S002,S1,S2,,,,,USD,01,,00,,,,false,,,,,,,1,false,,,,,100,,,,000001,,,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000372,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000375,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000376,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000377,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000378,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000379,0001,01,01,,,,,EUR,01,01,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000380,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000381,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000382,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000383,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000384,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000385,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000386,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000387,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000388,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000389,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000390,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
0000000391,0001,01,01,,,,,EUR,01,,01,,CIF,0001,false,,,0001,,,,1,false,,,0001,Walldorf,100,,,,000001,,Walldorf,false,false,,,0,0.00,0,0.0,0.0,true,,,,,,,,,false,false,,false,false,,false,false,false,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,,,,,,,
