Customer,CompanyCode,AccountingClerk,ReconciliationAccount,AuthorizationGroup,CustomerHeadOffice,AlternativePayerAccount,PaymentBlockingReason,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,CustomerAccountNote,APARToleranceGroup,HouseBank,ItemIsToBePaidSeparately,PaytAdviceIsSentbyEDI,PhysicalInventoryBlockInd,UserAtCustomer,AccountingClerkPhoneNumber,AccountingClerkFaxNumber,AccountingClerkInternetAddress,AccountByCustomer,IsToBeLocallyProcessed,CollectiveInvoiceVariant,LayoutSortingRule,PaymentTerms,CustomerSupplierClearingIsUsed,RecordPaymentHistoryIndicator,PaymentMethodsList,DeletionIndicator,CreditMemoPaymentTerms,DunningNoticeGroup,LastInterestCalcRunDate,CustPreviousMasterRecordNumber,ValueAdjustmentKey,CashPlanningGroup,SupplierReleaseGroup,PersonnelNumber,BuyingGroupAccountNumber,BillExchChargePaymentTerms,CheckPaidDurationInDays,CustomerPaymentBlockingReason,PaymentMethodSupplement,AcctsReceivablePledgingCode,LockboxInternalID,IsBusinessPurposeCompleted,WithholdingTaxCountry,KnownOrNegotiatedLeave,DeletionIsBlocked,PaymentClearingGroup,PaymentReason,BPPeriodicAccountStatement,US_FrgnAcctTaxRcpntCntry,US_GlobIntermediaryIdnNumber,US_RecipientForeignTaxID,US_LobTreatyCode,US_FW8BENReceiveDate,US_FW9ReceiveDate,US_SecondTINNoticeIsIssued,US_FrgnRecipientHasPartnership,US_FrgnAcctTaxFilingIsRequired,US_Chapter4StatusCode,LastDunnedOn,DunningProcedure,DunningLevel,DunningBlock,DunningRecipient,LegDunningProcedureOn,IsActiveEntity
0000000080,0001,,0000142000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,W,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000081,0001,,0000142000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000082,0001,,0000142000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000083,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000084,0001,,0000140000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000085,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000088,0001,,0000142000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000090,0001,,0000142000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000091,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000092,0001,,0000142000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000094,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000095,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000096,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000097,0001,,0000140000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000098,0001,,0000140000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000102,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000103,0001,,0000140000,,0000000097,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000106,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000107,0001,,0000140000,BP01,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000112,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,1,false,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000115,0001,,0000142000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000121,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000122,0001,,0000146000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000123,0001,,0000146000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000124,0001,,0000146000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000125,0001,,0000146000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000126,0001,,0000146000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000127,0001,,0000146000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000128,0001,,0000146000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000129,0001,,0000146000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000130,0001,,0000146000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000131,0001,,0000146000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,2015-10-01,0001,4,,,,true
0000000132,0001,,0000140000,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,2015-12-07,0001,1,,,,true
0000000133,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,2015-12-07,0001,1,,,,true
0000000137,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000138,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000166,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,2AS,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000168,0001,,0000196200,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000168,AT01,,0000142000,DPP,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000184,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,JPIS,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000185,JP03,,0000113100,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000186,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000188,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000198,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000199,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,JPIS,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000200,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,JPIS,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000201,CN01,,0011210000,,,,,,,00,,,,false,false,false,,,,,,false,,,0001,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000207,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,test@test.com,,false,,,0002,false,false,2AS,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000212,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000213,JP03,,0000113100,DPP,,,,,,00,,,,false,false,true,,,,,,false,,,,false,false,,true,,,,,,,,00000000,,,0,,,,,true,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000226,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000226,F001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000227,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,true,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000227,F001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000231,JP01,,0000113101,,,,,,,00,,,,false,false,false,,,,,,false,,002,JP01,true,false,,false,,,,,,E1,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000236,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,JPIS,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000251,PT01,,0000211110,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000256,0001,,0000196100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000257,0001,,0000196100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000258,0001,,0000196100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000259,0001,,0000142000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000260,0001,,0000196100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000261,0001,,0000196100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000262,0001,,0000196100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000263,0001,,0000196100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000269,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000274,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,002,JPIS,false,false,,false,,,,,,E2,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000284,IT01,,0000152000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000285,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0001,false,false,E,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000303,0001,,0000196000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000306,0001,,0000196000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000307,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,JP01,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000308,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000310,IN01,,0013150000,,,,,,,00,,,,false,false,false,,,,,,false,,,0001,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000312,0001,GP,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000313,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000313,F002,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000316,JP01,,0000113101,,,,,,,00,,,,false,false,false,,,,,,false,,002,JP01,true,false,,false,,,,,,E1,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000317,F002,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000321,JP01,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,002,JP01,false,false,,false,,,,,,E1,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000328,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000331,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000332,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000333,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000334,0001,GL,0000140000,,,,,,,00,,,,false,false,false,hellen,61082222,61083422,eileen.zhong@sap.com,,false,,,,false,false,A,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000335,0001,,0000140000,,,,,,,00,,DEB2,DB,false,true,false,,,,,,false,,,0002,false,false,,false,0002,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000335,F002,BD,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,0002,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000336,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000341,0001,,0000140000,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000352,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000354,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000355,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000356,JP03,,0000113100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
0000000367,PT01,,0000211100,,,,,,,00,,,,false,false,false,,,,,,false,,,,false,false,,false,,,,,,,,00000000,,,0,,,,,,,,false,,,,,,,,,,,,,,,,0,,,,true
